id,SAMPLE_ID
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,397
13,2
14,78
15,0
16,270
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,2
62,15
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,2
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,11
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1820
153,1150
154,1
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,2
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,44
197,0
198,0
199,1
200,0
201,2
202,0
203,0
204,0
205,0
206,5
207,0
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,4
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,3
250,0
251,0
252,0
253,0
254,33
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,2
273,0
274,1
275,0
276,0
277,0
278,0
